takeaway,delivery,takeaway_other,takeaway_other_2,business_date,ons_region_code,ons_region_name
,,0.00,,2021-02-14,E12000005,West Midlands
,,0.00,,2021-02-14,S99999999,(pseudo) Scotland
,,0.00,,2021-02-14,E12000003,Yorkshire and The Humber
,,0.00,,2021-02-14,E12000002,North West
,,0.00,,2021-02-14,E12000006,East of England
,,0.00,,2021-02-14,E12000009,South West
,,0.00,,2021-02-14,E12000004,East Midlands
,,0.00,,2021-02-14,E12000007,London
,,0.00,,2021-02-14,,
,,0.00,,2021-02-14,E12000008,South East
,,0.00,,2021-02-14,N99999999,(pseudo) Northern Ireland
,,0.00,,2021-02-14,E12000001,North East
,,0.00,,2021-02-14,W99999999,(pseudo) Wales
67220.35,244909.06,-227569.76,49881.05,2021-02-10,E12000007,London
4537.44,7308.97,-6439.03,3667.50,2021-02-10,,
40181.49,54784.38,-51278.15,36675.26,2021-02-10,E12000006,East of England
58866.70,88504.83,-81212.99,51574.86,2021-02-10,E12000008,South East
15463.14,9513.53,-8815.05,14764.66,2021-02-10,W99999999,(pseudo) Wales
4119.82,2485.08,-2314.23,3948.97,2021-02-10,N99999999,(pseudo) Northern Ireland
21371.29,30854.58,-29277.91,19794.62,2021-02-10,E12000009,South West
12134.76,7476.66,-6538.42,11196.52,2021-02-10,E12000001,North East
20606.22,23800.84,-22258.07,19063.45,2021-02-10,E12000004,East Midlands
52562.40,51969.02,-48509.71,49103.09,2021-02-10,E12000002,North West
29601.75,27157.37,-25057.84,27502.22,2021-02-10,E12000003,Yorkshire and The Humber
19675.26,20872.44,-20600.53,19403.35,2021-02-10,S99999999,(pseudo) Scotland
29173.34,40116.37,-37397.89,26454.86,2021-02-10,E12000005,West Midlands
19335.29,27246.11,-25962.58,18051.76,2021-02-09,E12000009,South West
23746.38,25048.92,-23064.95,21762.41,2021-02-09,E12000003,Yorkshire and The Humber
13245.68,7882.31,-7387.35,12750.72,2021-02-09,W99999999,(pseudo) Wales
16955.98,16265.74,-15700.88,16391.12,2021-02-09,S99999999,(pseudo) Scotland
3347.14,6016.17,-5229.22,2560.19,2021-02-09,,
56165.86,231545.78,-215284.83,39904.91,2021-02-09,E12000007,London
25855.91,35171.92,-33389.64,24073.63,2021-02-09,E12000005,West Midlands
16986.27,21127.53,-20056.85,15915.59,2021-02-09,E12000004,East Midlands
47631.86,48132.83,-45483.22,44982.25,2021-02-09,E12000002,North West
31188.36,50430.96,-47706.98,28464.38,2021-02-09,E12000006,East of England
49815.29,81221.66,-75258.25,43851.88,2021-02-09,E12000008,South East
2956.25,2417.82,-2146.45,2684.88,2021-02-09,N99999999,(pseudo) Northern Ireland
11943.51,6948.04,-6186.41,11181.88,2021-02-09,E12000001,North East
3292.50,6035.90,-5343.38,2599.98,2021-02-08,,
21627.71,23523.14,-21493.19,19597.76,2021-02-08,E12000003,Yorkshire and The Humber
43308.92,73530.07,-67275.44,37054.29,2021-02-08,E12000008,South East
52131.31,222918.21,-208064.63,37277.73,2021-02-08,E12000007,London
25028.48,48711.65,-46013.45,22330.28,2021-02-08,E12000006,East of England
12760.14,8135.14,-7877.04,12502.04,2021-02-08,W99999999,(pseudo) Wales
41641.55,45601.62,-42631.87,38671.80,2021-02-08,E12000002,North West
3913.07,2275.65,-1849.16,3486.58,2021-02-08,N99999999,(pseudo) Northern Ireland
14698.40,19196.70,-18224.56,13726.26,2021-02-08,E12000004,East Midlands
21363.79,17802.83,-17298.75,20859.71,2021-02-08,S99999999,(pseudo) Scotland
24047.77,39032.85,-36899.71,21914.63,2021-02-08,E12000005,West Midlands
19120.55,26905.18,-25470.95,17686.32,2021-02-08,E12000009,South West
11677.87,7444.43,-6553.38,10786.82,2021-02-08,E12000001,North East
5767.67,8801.92,-7212.91,4178.66,2021-02-07,,
69004.75,69488.04,-65894.06,65410.77,2021-02-07,E12000002,North West
73380.92,103284.41,-96528.77,66625.28,2021-02-07,E12000008,South East
18845.78,10705.96,-9835.45,17975.27,2021-02-07,E12000001,North East
29293.39,35889.16,-34509.92,27914.15,2021-02-07,E12000009,South West
29621.75,30630.06,-28798.24,27789.93,2021-02-07,E12000004,East Midlands
42575.32,52074.59,-49083.17,39583.90,2021-02-07,E12000005,West Midlands
16477.73,12448.40,-11927.51,15956.84,2021-02-07,W99999999,(pseudo) Wales
5107.54,2848.63,-2735.81,4994.72,2021-02-07,N99999999,(pseudo) Northern Ireland
38791.07,27062.06,-26506.00,38235.01,2021-02-07,S99999999,(pseudo) Scotland
45369.10,65681.23,-62027.74,41715.61,2021-02-07,E12000006,East of England
74564.92,311924.83,-295625.04,58265.13,2021-02-07,E12000007,London
38668.65,32956.94,-30812.00,36523.71,2021-02-07,E12000003,Yorkshire and The Humber
147002.24,392125.69,-358322.66,113199.21,2021-02-06,E12000007,London
62966.40,52610.77,-46809.05,57164.68,2021-02-06,E12000009,South West
67945.15,45143.65,-39179.01,61980.51,2021-02-06,E12000003,Yorkshire and The Humber
34488.95,13634.23,-10747.95,31602.67,2021-02-06,E12000001,North East
62024.32,34330.06,-31461.94,59156.20,2021-02-06,S99999999,(pseudo) Scotland
116528.10,89227.17,-77256.58,104557.51,2021-02-06,E12000002,North West
163689.78,136752.47,-116349.17,143286.48,2021-02-06,E12000008,South East
80592.13,72112.42,-65304.08,73783.79,2021-02-06,E12000005,West Midlands
34446.60,14012.98,-11271.95,31705.57,2021-02-06,W99999999,(pseudo) Wales
112739.99,100453.81,-89120.29,101406.47,2021-02-06,E12000006,East of England
54128.08,40256.34,-34816.51,48688.25,2021-02-06,E12000004,East Midlands
