Date,Alcatel,Apple,Asus,BlackBerry,Coolpad,Fujitsu,Gionee,HMD,HTC,Huawei,iTel,Lenovo,LG,Meizu,Micromax,Motorola,Nokia,Oppo,Others,Panasonic,Pantech,Samsung,Sharp,Sony,Tecno,Vivo,Wiko,Xiaomi,ZTE,Grand Total
31/03/2011,0.02,18.6,0.2,13.8,1.6,1.4,0.7,,9.6,2.3,,1,4.1025,0.1,0,4.1,24.2,0,5.4982,0.05,0.43,12.5993,1.1,4,0,0,0,0,1.4,106.8
30/06/2011,0.14,20.3,0.25,12.6,1.8,1.5,1,,11.85,3,,1.3,6.1995,0.1,0,4.4,16.7,0,6.752,0.05,0.6,20.1985,1,4.4,0,0,0,0,2.5,116.64
30/09/2011,0.35,17.1,0.25,11.7,2.15,1.2,1.3,,13.15,4.8,,1.7,4.403,0.2,0,4.9,16.8,0,7.7655,0.1,0.85,28.1015,1.2,6.2,0,0,0,0.08,3.6,127.9
31/12/2011,0.55,37,0.25,13.4,3.2,1.6,1.7,,10.2,6.7,,5,5.502,0.25,0,5.3,19.6,0,8.038,0.15,1.22,36.5,1.2,6.4,0,0,0,0.4,5.4,169.56
31/03/2012,0.7,35.1,0.3,9.9,3.8,2.6,1.8,,6.7,4.7,,4.7,4.9,0.35,0.11,5.12,11.9,1.3,9.32,0.2,1.3,44.4,1.3,5.8,0,0,0,1.2,4.5,162
30/06/2012,1.5,26,0.25,8.4,4.2,1.7,2.15,,9.2,5.5,,6.5,5.8,0.45,0.24,4.8,10.2,1.3,13.04,0.2,1.4,49,0.5,7.5,0,0,0,1.7,7,168.53
30/09/2012,2,26.9,0.3,7.5,5.15,2.1,2.55,,8,7.6,,7.05,7.6,0.55,0.66,4.6,6.3,1.5,17.69,0.25,1.6,58,1.5,8.8,0,0,0,2,6,186.2
31/12/2012,2.3,47.8,0.35,6.9,5.78,1.4,2.7,,7.1,12.49,,9.02,7.9,0.7,1.01,5,6.6,1.45,22.34,0.33,1.8,62,1.3,8.7,0,0,0,2.3,7.08,224.35
31/03/2013,1.5,37.4,0.3,6.9,6.2,1.3,2.8,,5.198474801,10.00357143,,8.33,10.4,0.7,1.31,4.1,6.1,1.75,30.52795377,0.23,1,69,1.2,8.1,0,0,0,3.15,9.1,226.6
30/06/2013,3.4,31.2,0.25,6.5,8.2,1.2,3.1,,7.1,11,,10.7,12.1,0.6,1.72,3.7,7.4,2.05,35.32,0.31,1.1,74.5,1.3,9.6,0,0,0,4.25,11.5,248.1
30/09/2013,5.2,33.8,0.29,3.1,9.6,0.9,3.3,,5.6,12.9,,12.5,12,0.6,2.4,3.8,8.8,2.4,42.18,0.38,0.85,88,1,10,0,0,0,4.9,7.5,272
31/12/2013,7.7,51,0.3,1.9,8.5,1.1,3.5,,5.1,17.1,,13.9,13.2,0.7,2.5,4,8.2,2.7,45.58,0.35,0.95,86.7,1.67,10.7,0,0,0,6.4,8.4,302.15
