Date,Licensing,Royalties,Software and Services,Non-royalty Total,Total,x_IPG Non-Royalty,x_IPG Royalty,ISG,x_Total Internal Revenue,IPG Non-Royalty calc,Tools and Support
30/06/2005,50798000,38097000,17737000,68535000,106632000,0,0,0,0,68535000,17737000
30/09/2005,46086000,44219000,16830000,62916000,107135000,0,0,0,0,62916000,16830000
31/12/2005,44024000,49284000,20780000,64804000,114088000,0,0,0,0,64804000,20780000
31/03/2006,43701000,48050000,19976000,63677000,111727000,0,0,0,0,63677000,19976000
30/06/2006,51689000,49312000,19921000,71610000,120922000,0,0,0,0,71610000,19921000
30/09/2006,51593000,52360000,19813000,71406000,123766000,0,0,0,0,71406000,19813000
31/12/2006,55531000,53346000,22417000,77948000,131294000,0,0,0,0,77948000,22417000
31/03/2007,54371000,47367000,21489000,75860000,123227000,0,0,0,0,75860000,21489000
30/06/2007,59305000,50561000,22519000,81824000,132385000,0,0,0,0,81824000,22519000
30/09/2007,55088000,57556000,19978000,75066000,132622000,0,0,0,0,75066000,19978000
31/12/2007,49118000,63884000,23597000,72715000,136599000,0,0,0,0,72715000,23597000
31/03/2008,48102000,60680000,22265000,70367000,131047000,0,0,0,0,70367000,22265000
30/06/2008,42833000,66173000,24593000,67426000,133599000,0,0,0,0,67426000,24593000
30/09/2008,45974000,76025000,22287000,68261000,144286000,0,0,0,0,68261000,22287000
31/12/2008,52814000,58358000,20581000,73395000,131753000,0,0,0,0,73395000,20581000
31/03/2009,40716000,49146000,21812000,62528000,111674000,0,0,0,0,62528000,21812000
30/06/2009,38721000,62292000,17675000,56396000,118688000,0,0,0,0,56396000,17675000
30/09/2009,39705000,74565000,21010000,60715000,135280000,0,0,0,0,60715000,21010000
31/12/2009,44914000,77470000,20532000,65446000,142916000,0,0,0,0,65446000,20532000
31/03/2010,43027000,82274000,22799000,65826000,148100000,0,0,0,0,65826000,22799000
30/06/2010,46994000,81697000,21031000,68025000,149722000,0,0,0,0,68025000,21031000
30/09/2010,52776000,93859000,23647000,76423000,170282000,0,0,0,0,76423000,23647000
31/12/2010,65398000,98627000,20335000,85733000,184360000,0,0,0,0,85733000,20335000
31/03/2011,63872000,95367000,23015000,86887000,182254000,0,0,0,0,86887000,23015000
30/06/2011,70415000,96849000,24380000,94795000,191644000,0,0,0,0,94795000,24380000
30/09/2011,72572000,114724000,22889000,95461000,210185000,0,0,0,0,95461000,22889000
31/12/2011,78869000,105977000,23445000,102314000,208291000,0,0,0,0,102314000,23445000
31/03/2012,76784000,110010000,26659000,103443000,213453000,0,0,0,0,103443000,26659000
30/06/2012,78596000,121094000,24434000,103030000,224124000,0,0,0,0,103030000,24434000
30/09/2012,83342000,136848000,23440000,106782000,243630000,0,0,0,0,106782000,23440000
31/12/2012,100548000,140052000,25419000,125967000,266019000,0,0,0,0,125967000,25419000
31/03/2013,94887000,135245000,28998000,123885000,259130000,0,0,0,0,123885000,28998000
30/06/2013,102582000,137171000,26424000,129006000,266177000,0,0,0,0,129006000,26424000
30/09/2013,123083000,146389000,26461000,149544000,295933000,0,0,0,0,149544000,26461000
31/12/2013,127396000,144547000,29068000,156464000,301011000,0,0,0,0,156464000,29068000
31/03/2014,129896000,135491000,30735000,160631000,296122000,0,0,0,0,160631000,30735000
30/06/2014,146083000,150188000,28032000,174115000,324303000,0,0,0,0,174115000,28032000
30/09/2014,142531000,165497000,27498000,170029000,335526000,0,0,0,0,170029000,27498000
31/12/2014,162296000,184683000,29773000,192069000,376752000,0,0,0,0,192069000,29773000
31/03/2015,133252000,175866000,30237000,163489000,339355000,0,0,0,0,163489000,30237000
30/06/2015,151023000,203004000,30178000,181201000,384205000,181000000,203000000,0,384000000,181201000,30178000
30/09/2015,145104000,216637000,27347000,172451000,389088000,172000000,217000000,0,389000000,172451000,27347000
31/12/2015,158492000,215681000,32781000,191273000,406954000,191000000,216000000,0,407000000,191273000,32781000
31/03/2016,148339000,196575000,34028000,182367000,378942000,182000000,197000000,0,379000000,182367000,34028000
30/06/2016,161309000,228000000,29667000,190976000,418976000,191000000,228000000,0,419000000,190976000,29667000
30/09/2016,89000000,240000000,24000000,113000000,353000000,113000000,240000000,0,353000000,113000000,24000000
31/12/2016,229000000,248000000,31000000,260000000,508000000,260000000,248000000,0,508000000,260000000,31000000
